CountryCode,CountryZone,GmtStartTms,GmtEndTms,GmtDiff,OffsetMinutes
AU,2A,2009-04-04 16:00:00.000,2009-10-03 16:00:00.000,1000,600
AU,2A,2009-10-03 16:00:00.000,2010-04-03 16:00:00.000,1100,660
AU,2A,2010-04-03 16:00:00.000,2010-10-02 16:00:00.000,1000,600
AU,2A,2010-10-02 16:00:00.000,2011-04-02 16:00:00.000,1100,660
AU,2A,2011-04-02 16:00:00.000,2011-10-01 16:00:00.000,1000,600
AU,2A,2011-10-01 16:00:00.000,2012-03-31 16:00:00.000,1100,660
AU,2A,2012-03-31 16:00:00.000,2012-10-06 16:00:00.000,1000,600
AU,2A,2012-10-06 16:00:00.000,2013-04-06 16:00:00.000,1100,660
AU,2A,2013-04-06 16:00:00.000,2013-10-05 16:00:00.000,1000,600
AU,2A,2013-10-05 16:00:00.000,2014-04-05 16:00:00.000,1100,660
AU,2A,2014-04-05 16:00:00.000,2014-10-04 16:00:00.000,1000,600
AU,2A,2014-10-04 16:00:00.000,2015-04-04 16:00:00.000,1100,660
AU,2A,2015-04-04 16:00:00.000,2015-10-03 16:00:00.000,1000,600
